國文,英文,數學,社會,自然
7,10,10,10,6
12,12,14,6,8
12,8,13,7,14
15,14,8,11,7
10,11,11,14,10
14,15,11,11,15
7,8,7,15,6
12,7,12,14,9
9,8,8,7,8
14,9,15,12,10
10,11,11,11,13
13,11,15,11,13
8,14,12,6,9
10,8,14,14,9
13,13,13,9,11
10,12,7,15,9
9,12,9,12,11
7,7,8,11,13
14,12,14,8,6
13,14,6,11,14
7,9,15,10,7
8,10,7,7,10
8,13,11,14,7
7,6,11,6,12
13,10,13,6,9
14,15,10,7,9
12,8,12,15,13
11,14,10,8,11
11,11,15,15,7
13,15,14,8,15
8,13,6,8,14
6,9,14,13,11
6,11,8,12,13
8,15,12,6,10
13,15,7,15,14
10,8,15,6,10
14,15,15,15,10
9,14,10,9,11
14,9,13,9,10
9,12,14,9,12
8,8,15,15,9
14,6,6,8,14
6,9,8,8,15
15,7,7,8,6
11,8,9,15,11
7,15,9,10,14
11,10,8,8,8
7,15,13,7,6
11,11,11,15,15
13,6,7,14,9
13,13,9,13,10
11,10,9,15,12
8,15,13,15,12
12,13,11,9,8
9,11,12,10,11
12,15,12,7,11
8,8,9,9,9
14,7,8,13,14
8,8,14,7,10
13,8,15,15,8
10,15,11,11,11
6,6,6,6,9
7,13,9,10,13
15,13,9,6,14
11,10,11,11,7
9,6,14,14,12
15,10,11,14,13
10,10,7,15,7
9,10,7,8,10
15,12,14,13,13
14,9,7,10,13
6,8,8,6,7
10,15,8,12,15
12,7,15,15,15
14,7,13,6,14
6,11,7,6,8
7,12,11,12,8
14,6,14,12,11
14,14,14,13,12
6,12,6,7,6
9,7,14,6,10
11,6,6,8,6
8,14,14,7,8
6,8,13,12,11
8,8,15,10,6
11,14,6,6,14
14,12,12,6,7
12,9,7,13,12
8,14,14,12,12
11,9,10,11,14
7,12,13,9,12
14,12,8,15,9
8,15,13,9,14
9,6,11,10,9
6,9,13,8,8
13,15,7,8,12
8,13,9,14,12
7,9,7,7,12
15,8,13,13,9
7,15,15,9,14
